userName,score,at,content
Fikhri Crew,5,11/25/2024 16:02,"Saya sudah beli pass nya 80K dan berhasil bayar lewat aplikasi licin, knp reward pass nya ke kunci??? Saya ada bukti SS pembayaran berhasil nya"
Iswan Iswandi,1,11/25/2024 14:56,Game gak jelas udah di download gak bisa masuk pula 👎
erfan pramugians,1,11/25/2024 13:04,game nya keluar masuk keluar masuk aplikasi mulu anjeeengggg nggga jelas bangsaaaattt
Mujarah Ikbal,1,11/25/2024 12:39,Game busuk game kikir. LENGKAP KEKURANGAN NYA 1. PLAYER BARU LAWAN PLAYER YG UDAH BAGUS. 2.SERING STUCK GAJELAS. 3.SERING FORCLOSE. 4.GAME GACHA PALING BURIK
Azalea Ramdhani,3,11/25/2024 11:33,"Konsep nya gmn ini tiap kali menang lgsg kluar sendiri,cape login nya mana lama,apa smua player sama Kya saya,tiap x menang selalu kluar sendiri?tolong pencerahannya?"
lintang krina,1,11/25/2024 11:21,"Pay to win, anda tidak akan pernah memenangkan permainan dengan hanya mengandalkan kemampuan bermain, karena karakter dan pendant pada game ini sudah tidak wajar dan memihak pada pemain."
saqillah alfa,2,11/25/2024 9:32,"padahal saya pemain lama yang ingin bermain kembali..waktu download data 1,5gb Selasai tapi stuck di logo tidak bisa masuk sangat kecewa"
Teguh Panji Prayetna,2,11/25/2024 6:41,"Jujur, stelah vakum dr getrich dan coba download lagi Sangat kaget, getrich yg sekarang dengan yg dulu pada saat liris sesion awal sangat jauh berbeda. Karena aku player dr Thn 2014 pertama liris game getrich, dan squad clan [IGR] Dr squad kmi membawa nma getrich naik Karena sering sekali squad kmidpt top global rank Dulu mengandalkan skill dadu, permainan juga seimbang, skrg karakter terlalu lebay, blm putar dadu udh loncat sana sini endingnya buat musuh bngkrut, Getric sekrng g seperti dulu"
Arya Bintang,2,11/25/2024 5:33,"Tolong developer jika mau mensupport pemain baru kembalikanlah sistem2 seperti dulu, jangan yang op op ,, kembalikan masa masa zeus dari diamond cube dan tampilan getrich nya tolong kembalikan seperti old"
Wisnu Permadi,1,11/25/2024 4:35,Bug force close tolong segera di perbaiki. Terima kasih
